county_fips,county_name,count_walk_to_mean,count_walk_to_error,overweight_mean,overweight_error,asthma_mean,asthma_error,flu_shot_mean,flu_shot_error,poor_oral_health_mean,poor_oral_health_error,hypertension_mean,hypertension_error
001,Adams,*,*,*,*,*,*,*,*,*,*,*,*
003,Ashland,*,*,*,*,*,*,*,*,*,*,*,*
005,Barron,*,*,*,*,*,*,*,*,*,*,*,*
007,Bayfield,*,*,*,*,*,*,*,*,*,*,*,*
009,Brown,7.987522,0.767006,0.862730,0.035144,0.095616,0.034875,0.410439,0.100206,0.323188,0.088478,0.251406,0.052086
011,Buffalo,*,*,*,*,*,*,*,*,*,*,*,*
013,Burnett,*,*,*,*,*,*,*,*,*,*,*,*
015,Calumet,5.073176,1.092947,0.812090,0.033300,0.141882,0.042167,0.464894,0.083926,0.124743,0.027458,0.194037,0.019364
017,Chippewa,6.431181,1.873691,0.854343,0.044331,0.107979,0.035381,0.339372,0.109387,0.177585,0.050936,0.261374,0.063848
019,Clark,*,*,*,*,*,*,*,*,*,*,*,*
021,Columbia,*,*,*,*,*,*,*,*,*,*,*,*
023,Crawford,*,*,*,*,*,*,*,*,*,*,*,*
025,Dane,8.202925,0.512496,0.598457,0.039734,0.133675,0.027108,0.523797,0.043044,0.159750,0.028559,0.245724,0.038181
027,Dodge,6.860878,1.616253,0.761060,0.035556,0.257602,0.034945,0.341487,0.087659,0.241518,0.064562,0.336159,0.069526
029,Door,2.397065,0.025206,0.689943,0.020348,0.015436,0.019592,0.540006,0.042180,0.024641,0.031275,0.339707,0.020876
031,Douglas,5.938740,0.809844,0.742983,0.040458,0.160468,0.051385,0.365442,0.051071,0.299606,0.120452,0.305144,0.070228
033,Dunn,2.095589,0.285683,0.686847,0.013039,0.139727,0.021484,0.325607,0.037631,0.273772,0.027888,0.308495,0.016142
035,Eau Claire,6.851113,1.275202,0.651428,0.067808,0.213014,0.044359,0.296188,0.031580,0.101276,0.017509,0.197722,0.076052
037,Florence,*,*,*,*,*,*,*,*,*,*,*,*
039,Fond Du Lac,7.018869,1.218258,0.725808,0.015699,0.137173,0.042125,0.311196,0.039633,0.353326,0.067122,0.259416,0.044168
041,Forest,*,*,*,*,*,*,*,*,*,*,*,*
043,Grant,7.655354,1.812322,0.710469,0.054036,0.063321,0.047340,0.409022,0.061831,0.154561,0.033983,0.455045,0.127328
045,Green,*,*,*,*,*,*,*,*,*,*,*,*
047,Green Lake,3.983344,1.567224,0.675218,0.024114,0.127419,0.015889,0.436851,0.073620,0.491056,0.012226,0.266947,0.007283
049,Iowa,5.821739,2.248986,0.672114,0.035123,0.220956,0.039756,0.594100,0.039846,0.058345,0.019504,0.136884,0.032587
051,Iron,3.060763,0.093789,0.886447,0.051052,0.040119,0.018037,0.426259,0.056453,0.288599,0.040169,0.414919,0.054754
053,Jackson,*,*,*,*,*,*,*,*,*,*,*,*
